Timestamp,Vehicle Angle,VehicleID,VehiclePos,VehiclePos,Longitude,latitude
128,337.683094,veh1,35.10833,7.803452,-6.253561,53.35168
128,154.034331,veh2,1.445432,2.448495,-6.254426,53.350799
129,337.683094,veh1,42.292914,7.184583,-6.253598,53.351741
129,154.789302,veh2,5.647978,4.202545,-6.254401,53.350764
130,337.683094,veh1,49.490409,7.197495,-6.253635,53.351801
130,154.789302,veh2,12.066339,6.418361,-6.254364,53.350711
131,337.683094,veh1,56.558098,7.06769,-6.253671,53.351861
131,154.922031,veh2,1.055215,8.098876,-6.254316,53.350644
132,337.683094,veh1,64.292227,7.734129,-6.253711,53.351926
132,155.418324,veh2,11.402123,10.346907,-6.254257,53.350558
133,344.24612,veh1,3.768248,5.51602,-6.253732,53.351974
133,155.418324,veh2,24.224861,12.822739,-6.254184,53.350451
134,32.059235,veh1,5.239314,7.231066,-6.253684,53.35203
134,155.418324,veh2,36.994765,12.769903,-6.254111,53.350345
135,60.775815,veh1,4.077094,7.41778,-6.253587,53.352062
135,155.418324,veh2,49.851798,12.857033,-6.254037,53.350239
136,62.160943,veh1,11.852085,7.77499,-6.253482,53.352093
136,155.435108,veh2,3.406371,12.964573,-6.253963,53.350131
137,62.160943,veh1,18.795462,6.943378,-6.253388,53.35212
137,155.436174,veh2,16.898249,13.491878,-6.253886,53.350019
138,62.160943,veh1,25.434491,6.639028,-6.253298,53.352145
138,155.642603,veh2,12.322326,13.224076,-6.253811,53.349909
139,59.589039,veh1,1.574911,5.310421,-6.253228,53.352168
139,155.775394,veh2,5.829129,11.046803,-6.253749,53.349817
140,8.153808,veh1,7.712703,6.137792,-6.253203,53.352217
140,155.775394,veh2,12.375933,6.546803,-6.253712,53.349762
141,342.505305,veh1,5.344621,5.781917,-6.253225,53.352267
141,155.775394,veh2,14.928445,2.552513,-6.253698,53.349741
142,356.02228,veh1,5.685063,7.490442,-6.253236,53.352333
142,155.775394,veh2,15.435037,0.506592,-6.253695,53.349737
143,45.223997,veh1,12.564977,6.879915,-6.253174,53.352379
143,155.775394,veh2,15.550406,0.115369,-6.253694,53.349736
144,67.091051,veh1,5.175364,6.920386,-6.253079,53.352403
144,155.775394,veh2,15.635002,0.084597,-6.253694,53.349735
145,336.992167,veh1,12.511256,7.335892,-6.253082,53.352455
145,155.775394,veh2,15.637927,0.002924,-6.253694,53.349735
146,336.992167,veh1,20.159143,7.647888,-6.253123,53.35252
146,155.775394,veh2,15.638997,0.00107,-6.253694,53.349735
147,336.992167,veh1,27.146136,6.986993,-6.25316,53.352578
147,155.775394,veh2,15.638997,0,-6.253694,53.349735
148,318.347954,veh1,2.395718,3.169581,-6.253193,53.352593
148,155.775394,veh2,15.638997,0,-6.253694,53.349735
149,263.460168,veh1,2.754968,2.93925,-6.253234,53.352584
149,155.775394,veh2,15.638997,0,-6.253694,53.349735
150,247.081482,veh1,8.186968,5.432,-6.25331,53.352567
150,155.775394,veh2,15.638997,0,-6.253694,53.349735
151,247.081482,veh1,15.26624,7.079272,-6.25341,53.352545
151,155.775394,veh2,15.638997,0,-6.253694,53.349735
152,247.081482,veh1,23.031232,7.764992,-6.253519,53.35252
